video_name,label_str,activity,group,max_tilt,delta_tilt,min_h_w_ratio,delta_h_w_ratio,weighted_tilt,weighted_velocity,weighted_ground_proximity,depth_drop,depth_variance,depth_range,stage3_fall_prob,LABEL
video000007,fall,stand,f_raw_s_3,33.983196,13.010672,0.9006,-0.559075,27.920889,0.008675,0.626892,-0.08238,0.001135,0.112979,0.99997,1
video000008,fall,bed,f_raw_b_1,38.556997,6.884128,1.032013,0.504162,27.441644,0.014845,0.652896,0.369383,0.0251,0.477636,0.999954,1
video000008,fall,bed,f_raw_b_2,120.943007,-34.161619,0.796794,-0.412473,100.715509,0.032865,0.481345,0.118389,0.003963,0.176374,0.999965,1
video000008,fall,bed,f_raw_b_3,1.251731,-0.534324,4.888142,0.028902,0.799601,-0.000612,0.987005,-0.006727,0.007774,0.258661,0.999483,1
video000008,fall,chair,f_raw_c_1,52.767495,42.933761,0.993393,-0.214127,35.878637,-0.003333,0.582558,0.103057,0.002742,0.147753,0.999971,1
video000008,fall,chair,f_raw_c_2,138.126523,-24.508258,0.651808,-1.015709,121.891661,0.046272,0.300882,-0.10008,0.006097,0.212011,0.99997,1
video000008,fall,chair,f_raw_c_3,93.432346,69.319189,1.248713,-2.587745,52.229008,0.004382,0.517399,0.002281,0.000499,0.068923,0.999972,1
video000008,fall,stand,f_raw_s_1,152.770159,148.921547,2.246401,-0.329021,88.840513,0.027622,0.735533,-0.189126,0.011415,0.351864,0.999964,1
video000008,fall,stand,f_raw_s_2,32.235863,32.220106,1.437441,-4.156924,14.249318,0.02882,0.595247,0.052257,0.006706,0.273055,0.999966,1
video000008,fall,stand,f_raw_s_3,118.512047,52.023329,0.43081,-0.17514,83.141438,0.014362,0.523684,-0.147432,0.01678,0.334278,0.999972,1
video000009,fall,bed,f_raw_b_1,10.963432,-4.566771,1.380811,-0.043699,7.646257,0.0011,0.786373,-0.036462,0.002128,0.134882,0.999957,1
video000009,fall,bed,f_raw_b_2,122.111929,-30.208239,0.709726,-0.49761,95.097991,0.034863,0.448914,0.148027,0.003304,0.191751,0.999963,1
video000009,fall,bed,f_raw_b_3,3.453923,0.06649,4.246594,-0.053793,2.084549,-0.000657,0.987093,0.042169,0.002029,0.139264,0.999587,1
video000009,fall,chair,f_raw_c_1,119.472068,-63.64242,0.35417,-0.126385,96.776886,0.014627,0.506881,0.072657,0.001325,0.120344,0.999971,1
video000009,fall,chair,f_raw_c_2,119.664738,117.457923,1.278209,-2.327306,48.985712,-0.007745,0.611176,-0.005601,0.003282,0.160907,0.99997,1
video000009,fall,chair,f_raw_c_3,92.936336,47.699131,1.248713,-1.202638,66.618841,0.005292,0.501009,-0.010609,0.000222,0.04565,0.999972,1
video000009,fall,stand,f_raw_s_1,8.856517,7.027366,1.836153,-4.192658,4.571952,0.047199,0.609737,-0.336737,0.07996,0.743351,0.999967,1
video000009,fall,stand,f_raw_s_2,37.162357,35.246729,1.079183,-4.539498,14.967042,0.015173,0.475637,-0.080527,0.002035,0.178419,0.999967,1
video000009,fall,stand,f_raw_s_3,97.735229,31.617166,0.564051,-0.432397,83.321049,0.013719,0.561508,-0.012166,0.00025,0.043911,0.999972,1
video000010,fall,bed,f_raw_b_1,48.826169,-31.590827,2.219446,-0.018053,26.356705,0.012764,0.528859,-0.065415,0.007606,0.316578,0.99997,1
video000010,fall,bed,f_raw_b_2,61.28124,3.954175,0.962046,-0.583615,56.430702,0.02794,0.58853,-0.120463,0.005,0.216107,0.999966,1
video000010,fall,bed,f_raw_b_3,3.064286,-0.700062,2.48493,-1.971907,1.770512,0.035943,0.907606,0.130677,0.058779,0.731464,0.999726,1
video000010,fall,chair,f_raw_c_1,158.993571,2.949565,0.0,-0.734231,116.490442,0.024998,0.56618,0.073946,0.01142,0.347132,0.999971,1
video000010,fall,chair,f_raw_c_2,14.870612,-4.628603,1.358965,0.420172,12.842816,-0.005081,0.999754,-0.004099,0.000367,0.051395,0.999932,1
video000010,fall,chair,f_raw_c_3,96.932588,59.147858,1.405859,-2.80233,54.604365,0.004118,0.525834,-0.007217,0.00049,0.07065,0.999972,1
video000010,fall,stand,f_raw_s_1,8.754477,8.094243,2.319623,-3.692758,3.26485,0.045851,0.592794,-0.249211,0.014788,0.342582,0.999968,1
video000010,fall,stand,f_raw_s_2,9.969996,-1.70475,0.653191,-1.223476,6.404556,0.020779,0.441871,-0.013463,0.001298,0.091759,0.999944,1
video000010,fall,stand,f_raw_s_3,99.713503,39.462665,0.40753,-0.818383,83.268866,0.012054,0.544431,-0.079364,0.005047,0.212026,0.999972,1
video000011,fall,bed,f_raw_b_1,48.826169,-31.590827,2.219446,-0.018053,26.356705,0.012764,0.528859,-0.065415,0.007606,0.316578,0.99997,1
video000011,fall,bed,f_raw_b_2,104.242915,33.156534,0.616812,-0.259814,64.522383,0.04761,0.497042,-0.087167,0.031304,0.561593,0.999965,1
video000011,fall,bed,f_raw_b_3,87.140689,-0.491449,0.569259,0.047101,40.590797,0.017999,0.740388,0.232377,0.029333,0.46847,0.999941,1
video000011,fall,chair,f_raw_c_1,177.746856,-12.045794,0.483451,-0.575467,129.319646,0.020762,0.536274,0.068799,0.005631,0.236496,0.99997,1
video000011,fall,chair,f_raw_c_2,28.367993,9.934399,1.15099,-0.168192,23.116651,-0.054592,0.815006,0.266162,0.010356,0.303193,0.999961,1
video000011,fall,chair,f_raw_c_3,96.932588,59.147858,1.405859,-2.80233,54.604365,0.004118,0.525834,-0.007217,0.00049,0.07065,0.999972,1
video000011,fall,stand,f_raw_s_1,10.497029,3.872718,1.611934,-0.306166,6.173212,0.004272,0.576677,-0.022861,0.000225,0.043296,0.999972,1
video000011,fall,stand,f_raw_s_2,36.582402,4.193767,1.158691,-0.058676,31.222837,-0.009616,0.671559,-0.033595,0.000762,0.080525,0.999959,1
video000011,fall,stand,f_raw_s_3,94.269531,41.782104,0.428947,-0.773508,81.909375,0.013541,0.553481,-0.039957,0.001009,0.116505,0.999972,1
video000012,fall,bed,f_raw_b_1,19.816226,5.721911,2.56975,-2.064839,15.472239,0.015679,0.628726,-0.093886,0.002157,0.136739,0.99997,1
video000012,fall,bed,f_raw_b_2,97.550871,2.895647,0.654694,0.020324,83.39954,0.035483,0.55857,0.079707,0.011684,0.346216,0.999967,1
video000012,fall,bed,f_raw_b_3,75.166927,-48.708926,0.753935,0.947107,54.008074,0.024615,0.612752,0.52776,0.03162,0.590967,0.999962,1
video000012,fall,chair,f_raw_c_1,168.951052,-111.017869,0.0,-1.192877,78.655886,-0.026512,0.721204,0.248003,0.046478,0.549417,0.99995,1
video000012,fall,chair,f_raw_c_2,72.641643,-16.240278,1.269828,0.295435,38.423484,-0.044742,0.826986,0.223099,0.031597,0.405048,0.999952,1
video000012,fall,chair,f_raw_c_3,53.02241,20.231579,1.789949,-1.105305,37.599543,0.006478,0.526517,-0.04204,0.000455,0.059103,0.999973,1
video000012,fall,stand,f_raw_s_1,4.627306,2.839789,4.38799,-1.471444,1.799895,0.004357,0.728497,-0.003419,3.2e-05,0.015673,0.999961,1
video000012,fall,stand,f_raw_s_2,39.296332,-19.554389,1.132646,0.827532,34.470811,0.000245,0.759157,0.279107,0.010128,0.361321,0.999957,1
video000012,fall,stand,f_raw_s_3,116.936434,41.145112,0.433876,-0.775323,87.070223,0.018325,0.544752,-0.065724,0.000964,0.102705,0.999972,1
video000013,fall,bed,f_raw_b_1,45.961337,-20.426156,2.003978,0.68621,22.633315,0.013025,0.645314,-0.110561,0.002015,0.134314,0.99997,1
video000013,fall,bed,f_raw_b_2,115.929022,26.385828,0.825505,-0.504757,95.62189,0.03189,0.572051,0.008543,0.000962,0.104477,0.999967,1
video000013,fall,bed,f_raw_b_3,145.451413,41.697593,0.69952,0.520558,116.428011,0.008663,0.631683,0.323978,0.022567,0.408028,0.999947,1
video000013,fall,chair,f_raw_c_1,2.366886,2.004169,2.442801,-1.825382,1.264714,-0.008853,0.624285,-0.087376,0.001984,0.129075,0.999971,1
video000013,fall,chair,f_raw_c_2,22.069464,-1.224018,2.011701,-0.074202,21.167792,-0.002974,0.993311,-0.007195,0.001019,0.09742,0.999714,1
video000013,fall,chair,f_raw_c_3,53.02241,20.231579,1.789949,-1.105305,37.599543,0.006478,0.526517,-0.04204,0.000455,0.059103,0.999973,1
video000013,fall,stand,f_raw_s_1,8.440347,7.386363,2.266036,-3.390683,2.486377,0.036476,0.679289,0.080153,0.009906,0.314425,0.999966,1
video000013,fall,stand,f_raw_s_2,32.620817,12.482101,1.123571,-0.328477,24.535314,0.011118,0.69329,0.044803,0.000532,0.070442,0.99997,1
video000013,fall,stand,f_raw_s_3,102.832607,45.88498,0.509921,-0.618947,71.945756,0.006405,0.551911,-0.013314,0.000246,0.05476,0.999972,1
video000014,fall,bed,f_raw_b_1,18.216389,5.072959,2.88739,-1.399701,15.421569,0.01443,0.622912,0.111888,0.007319,0.267008,0.999968,1
video000014,fall,bed,f_raw_b_2,102.209963,7.367798,0.700133,0.258128,83.159455,0.031161,0.663723,-0.093339,0.030079,0.515426,0.999964,1
video000014,fall,bed,f_raw_b_3,86.677476,-15.64811,0.744385,0.241933,61.735597,0.043458,0.706308,0.029754,0.007552,0.294651,0.999953,1
video000014,fall,chair,f_raw_c_1,178.47375,158.83966,1.913261,-1.503672,123.009504,0.006744,0.501209,-0.05225,0.013004,0.424035,0.99997,1
video000014,fall,chair,f_raw_c_2,165.337362,101.2064,1.17801,0.928375,139.208871,0.005008,0.708326,-0.609695,0.123814,0.892681,0.999944,1
video000014,fall,chair,f_raw_c_3,94.236224,45.809252,1.489559,-2.647287,56.934336,0.008778,0.524487,0.029138,0.001227,0.104064,0.999972,1
video000014,fall,stand,f_raw_s_1,83.533958,79.639867,1.206393,-3.228316,19.733631,0.031789,0.596495,-0.012171,6.3e-05,0.022331,0.99997,1
video000014,fall,stand,f_raw_s_2,44.655202,35.797158,1.215027,-0.535308,32.829583,-0.020721,0.679116,0.108877,0.004228,0.17549,0.999964,1
video000014,fall,stand,f_raw_s_3,4.029494,2.893198,2.54462,-2.527598,1.789097,0.001799,0.667787,-0.013327,3e-05,0.015221,0.999969,1
video000015,fall,bed,f_raw_b_1,18.2485,3.902109,3.263265,-0.779306,14.754552,0.013282,0.629357,0.05024,0.007619,0.234787,0.999968,1
video000015,fall,bed,f_raw_b_2,73.815357,-1.376025,0.534256,0.57226,60.117576,0.049972,0.734304,-0.013383,0.007606,0.332271,0.999951,1
video000015,fall,bed,f_raw_b_3,87.934796,10.90162,0.574243,-0.100546,78.277272,0.058459,0.622518,0.237326,0.014864,0.378148,0.999963,1
video000015,fall,chair,f_raw_c_1,178.480112,169.234431,1.710116,-2.008497,130.540373,0.004415,0.405492,-0.020517,0.00061,0.07447,0.99997,1
video000015,fall,chair,f_raw_c_2,168.525394,-9.425291,1.87581,4.249361,90.400963,-0.001107,0.68938,0.514091,0.121003,0.908697,0.999957,1
video000015,fall,chair,f_raw_c_3,92.150535,45.809252,1.511848,-2.647287,54.324821,0.009827,0.523395,0.035004,0.001267,0.089945,0.999972,1
video000015,fall,stand,f_raw_s_1,9.151208,7.701322,1.639066,-4.445208,3.207568,0.035362,0.647856,-0.31006,0.011901,0.367952,0.999967,1
video000015,fall,stand,f_raw_s_2,28.590128,-22.826743,0.941963,0.903212,11.204386,-0.03638,0.803218,0.005855,0.005893,0.22581,0.999961,1
video000015,fall,stand,f_raw_s_3,179.758019,27.715896,1.606857,-3.521024,88.725509,0.013284,0.498323,-0.010863,0.062327,0.706933,0.99997,1
video000016,fall,bed,f_raw_b_1,14.857696,-6.288593,1.257597,0.050023,10.639595,-0.000512,0.522392,0.076585,0.003186,0.15224,0.999972,1
video000016,fall,bed,f_raw_b_2,100.443719,12.85842,0.857932,0.113098,81.258906,0.055604,0.584249,-0.289866,0.021286,0.422176,0.999955,1
video000016,fall,bed,f_raw_b_3,102.250145,-77.506636,0.642902,0.260377,73.024973,0.032182,0.750807,0.051486,0.010695,0.32845,0.999943,1
video000016,fall,chair,f_raw_c_1,179.412846,168.754901,1.624542,-1.458757,129.759558,0.004888,0.484986,0.002279,0.009953,0.326792,0.999971,1
video000016,fall,chair,f_raw_c_2,177.017643,-1.529829,1.838918,0.786577,60.065691,-0.003265,0.699782,0.18339,0.031205,0.585115,0.999964,1
video000016,fall,chair,f_raw_c_3,97.080822,83.182133,1.441628,-2.52503,51.726728,-0.000461,0.532769,0.001278,0.000205,0.046384,0.999972,1
video000016,fall,stand,f_raw_s_1,99.116965,95.441671,0.701521,-4.787537,32.540162,0.025969,0.557307,-0.200471,0.022142,0.345029,0.999969,1
video000016,fall,stand,f_raw_s_2,28.803914,23.847931,0.878202,-0.511429,13.305298,-0.012349,0.661174,0.137944,0.005123,0.200316,0.999966,1
video000016,fall,stand,f_raw_s_3,12.848657,11.842359,2.738374,-2.473163,3.509447,-0.004798,0.651664,-0.035518,0.002969,0.173399,0.999968,1
video000017,fall,bed,f_raw_b_1,14.857696,-6.288593,1.257597,0.050023,10.639595,-0.000512,0.522392,0.076585,0.003186,0.15224,0.999972,1
video000017,fall,bed,f_raw_b_2,24.194545,-13.097395,1.787631,-0.182789,18.324447,0.000249,0.877412,-0.025659,0.001186,0.08444,0.999952,1
video000017,fall,bed,f_raw_b_3,94.988252,-2.81063,0.622028,-0.448364,88.911646,-0.025246,0.518956,0.0676,0.017967,0.402563,0.999963,1
video000017,fall,chair,f_raw_c_1,179.482997,166.746615,1.898219,-1.776978,133.206205,0.004123,0.471995,-0.059493,0.006841,0.255868,0.999971,1
video000017,fall,chair,f_raw_c_2,4.221846,-0.985903,1.793549,0.420584,3.027796,-0.006683,0.922104,-0.00604,4.7e-05,0.021749,0.999948,1
video000017,fall,chair,f_raw_c_3,97.080822,83.182133,1.441628,-2.52503,51.726728,-0.000461,0.532769,0.001278,0.000205,0.046384,0.999972,1
video000017,fall,stand,f_raw_s_1,10.404532,6.754136,1.966907,-3.940275,3.072064,0.030598,0.638036,-0.136298,0.004359,0.181727,0.999968,1
video000017,fall,stand,f_raw_s_2,25.947456,-0.946095,1.290545,-0.030584,25.387017,0.000315,0.795309,0.046661,0.004333,0.205447,0.999953,1
video000017,fall,stand,f_raw_s_3,6.93826,6.161939,2.399795,-2.682245,2.137312,0.005576,0.669914,-0.051037,0.001745,0.129363,0.999968,1
video000018,fall,bed,f_raw_b_1,20.373614,-0.511605,2.587382,-0.369936,14.444782,0.012945,0.660396,0.077642,0.002028,0.13276,0.99997,1
video000018,fall,bed,f_raw_b_2,18.846944,5.187535,1.363465,0.700894,11.276142,0.012385,0.814732,0.171326,0.006069,0.246634,0.999955,1
video000018,fall,bed,f_raw_b_3,103.734279,-1.24657,0.0,-0.334212,72.082027,-0.011354,0.60483,0.131162,0.009037,0.242047,0.999966,1
video000018,fall,chair,f_raw_c_1,66.014812,50.089617,0.901894,-0.213932,35.799134,-0.007998,0.617095,0.031325,0.002235,0.141918,0.999969,1
video000018,fall,chair,f_raw_c_2,111.378177,19.075404,0.332491,0.033154,103.257816,0.017403,0.534594,-0.161216,0.008335,0.291715,0.999964,1
video000018,fall,chair,f_raw_c_3,160.349877,-24.721979,1.179022,-1.348494,69.089621,0.026613,0.393326,0.055289,0.001758,0.145011,0.999972,1
video000018,fall,stand,f_raw_s_1,121.746317,120.450023,0.992175,-4.143169,24.655706,0.01951,0.4332,-0.326974,0.040031,0.475633,0.999959,1
video000018,fall,stand,f_raw_s_2,22.864276,0.546563,1.521842,0.010652,22.483001,4.7e-05,0.7867,0.035788,0.000327,0.051752,0.999955,1
video000018,fall,stand,f_raw_s_3,10.107859,8.416426,2.843218,-2.526058,3.544407,0.002165,0.622895,-0.079581,0.006623,0.22228,0.999968,1
video000019,fall,bed,f_raw_b_1,20.373614,-0.511605,2.587382,-0.369936,14.444782,0.012945,0.660396,0.077642,0.002028,0.13276,0.99997,1
video000019,fall,bed,f_raw_b_2,108.439465,-25.967896,0.511905,0.202442,81.075243,0.02222,0.530337,-0.181187,0.033888,0.494667,0.999968,1
video000019,fall,bed,f_raw_b_3,130.951015,-30.876233,0.7394,-0.239433,98.015012,0.027981,0.593688,0.429172,0.044593,0.591371,0.999963,1
video000019,fall,chair,f_raw_c_1,140.436472,139.489071,1.86767,-2.067556,39.972464,-0.008437,0.483729,-0.026735,0.000736,0.084788,0.999971,1
video000019,fall,chair,f_raw_c_2,139.266642,112.44204,0.738433,0.27308,46.06454,0.008928,0.734532,-0.648337,0.096227,0.813325,0.999958,1
video000019,fall,chair,f_raw_c_3,178.923194,-92.323967,1.338037,-1.525734,88.523866,0.030235,0.415392,0.056867,0.006271,0.253323,0.99997,1
