video_id,label,prob_model_bed,prob_model_chair,prob_model_stand,ensemble_probability,tilt_std,ground_proximity_range,tilt_total_variation,ground_proximity_iqr,tilt_abs_delta,depth_variance,depth_iqr,depth_mean_abs_diff,depth_second_half_std,depth_abs_delta,stage5_score,stage5_decision
B_D_0037,1,0.657583475112915,0.8245839476585388,0.8298827409744263,0.7706833879152933,23.390559,0.063484,64.928573,0.018288,52.392781,0.000914,0.028511,0.036144,0.03127,0.105983,0.6523188648934728,1
B_D_0038,1,0.746660590171814,0.6915359497070312,0.7326245307922363,0.7236070235570272,28.295069,0.243367,79.35136,0.124601,74.625712,0.00239,0.07831,0.047479,0.019409,0.084918,0.6558680678137351,1
B_D_0039,1,0.6948646903038025,0.2140757143497467,0.4026528298854828,0.437197744846344,6.95651,0.035741,33.442515,0.009129,22.731783,0.000245,0.020701,0.012926,0.008627,0.049135,0.4105430344232982,0
B_D_0040,1,0.8278228640556335,0.9011340141296387,0.891552746295929,0.8735032081604004,43.271559,0.034649,118.502429,0.019108,118.502429,0.0073,0.122298,0.06041,0.068877,0.212564,0.7904142488669428,1
B_D_0041,1,0.813812792301178,0.9554963111877441,0.9061184525489807,0.8918091853459676,18.667085,0.080053,94.264411,0.044701,33.035387,0.00051,0.042981,0.014873,0.021146,0.002073,0.7394633893562284,1
B_D_0042,1,0.5944712162017822,0.8284366726875305,0.7076501250267029,0.7101860046386719,10.332301,0.082126,100.739037,0.03434,8.551139,0.010488,0.089176,0.069352,0.097369,0.221726,0.6176005835751492,1
B_D_0043,1,0.7189578413963318,0.7903301119804382,0.7808646559715271,0.763384203116099,11.564056,0.097198,246.95485,0.043835,26.429166,0.007877,0.11581,0.056328,0.078718,0.182283,0.6668151634881816,1
B_D_0044,1,0.754630982875824,0.8872516751289368,0.7795579433441162,0.8071468671162924,13.360001,0.080299,50.817463,0.042382,16.899847,0.003467,0.085589,0.044177,0.021181,0.154726,0.6707508403675652,1
B_D_0045,1,0.757908046245575,0.9148692488670349,0.8722193241119385,0.8483322064081827,15.28434,0.076179,78.878659,0.039633,24.921797,0.000272,0.011756,0.018024,0.014107,0.013114,0.6973376787041217,1
B_D_0046,1,0.740282416343689,0.882046103477478,0.8711651563644409,0.831164558728536,16.366348,0.045645,80.085283,0.012845,27.358779,0.00089,0.045323,0.023512,0.03063,0.081923,0.6805587226163134,1
B_D_0048,1,0.6250560283660889,0.8374614715576172,0.7703787684440613,0.7442987561225891,8.05677,0.084776,134.825781,0.044988,1.452303,0.008423,0.102574,0.056079,0.048138,0.174825,0.6353327994296155,1
B_D_0049,1,0.6883509755134583,0.8409944176673889,0.7617473602294922,0.7636975844701132,7.005988,0.011974,21.883213,0.001637,16.868805,0.006604,0.03083,0.07329,0.090525,0.2315,0.623212051695292,1
B_D_0050,1,0.7761013507843018,0.9154447317123413,0.849509060382843,0.8470183809598287,26.743184,0.061387,80.297155,0.014121,55.827741,0.002246,0.071195,0.04,0.050611,0.009834,0.7179705648042342,1
B_D_0051,1,0.8269836902618408,0.9157367944717407,0.8559048771858215,0.8662084539731344,11.668501,0.026533,63.971693,0.011119,29.742709,0.000583,0.042977,0.027451,0.028071,0.054057,0.6989453750918733,1
B_D_0052,1,0.780392050743103,0.8809744715690613,0.8259580731391907,0.829108198483785,14.209424,0.083709,103.428126,0.032574,36.069638,0.001212,0.033684,0.021703,0.027315,0.108666,0.6905340869478859,1
B_D_0053,1,0.7661373019218445,0.1783246397972107,0.36713340878486633,0.4371984501679738,3.455753,0.02307,23.6125,0.006837,9.063204,0.000167,0.015961,0.007696,0.011386,0.018083,0.4299497082606398,0
B_D_0054,1,0.7942678928375244,0.2239151895046234,0.41497349739074707,0.47771885991096497,2.305517,0.009631,12.719925,0.003632,2.865085,4.1e-05,0.004165,0.008393,0.007704,0.00045,0.45033168200691215,1
B_D_0055,1,0.7942678928375244,0.2239151895046234,0.41497349739074707,0.47771885991096497,2.305517,0.009631,12.719925,0.003632,2.865085,4.1e-05,0.004165,0.008393,0.007704,0.00045,0.45033168200691215,1
B_D_0056,1,0.762394905090332,0.5444782972335815,0.41005948185920715,0.5723108947277069,9.558186,0.023166,33.860276,0.016833,24.793752,0.00065,0.020006,0.029975,0.031024,0.018707,0.5014664089453539,1
B_D_0057,1,0.7786343693733215,0.2442479282617569,0.4877125322818756,0.503531609972318,3.163431,0.007128,14.792514,0.000504,5.58562,0.000335,0.007109,0.014674,0.021628,0.056971,0.44921675313550047,1
B_D_0058,1,0.820640504360199,0.8002163767814636,0.8115361332893372,0.8107976714769999,6.967803,0.013696,30.13891,0.006105,11.261014,0.00021,0.013207,0.015167,0.012139,0.015526,0.6272917273592953,1
B_D_0059,1,0.7955032587051392,0.7933686971664429,0.861931324005127,0.8169344266255697,8.617202,0.03602,49.561438,0.018164,8.750178,0.001539,0.060409,0.027628,0.018975,0.061196,0.6511942612636958,1
B_D_0060,1,0.7881206274032593,0.6315460801124573,0.626884937286377,0.6821838816006979,6.205427,0.016096,18.511072,0.010789,18.511072,0.000326,0.019695,0.019834,0.01832,0.01315,0.5546090181174479,1
B_D_0061,1,0.7830162644386292,0.6291602849960327,0.7558263540267944,0.7226676344871521,3.817496,0.009561,17.488022,0.007376,1.770152,0.001167,0.038092,0.039869,0.027721,0.038092,0.5689744149770616,1
B_D_0062,1,0.8129716515541077,0.934783935546875,0.8359051942825317,0.8612202604611715,25.396182,0.025044,71.266452,0.011081,71.266452,0.000378,0.021776,0.02173,0.018567,0.025214,0.7245859564564534,1
B_D_0063,1,0.8037506937980652,0.9280481934547424,0.8730589747428894,0.8682859539985657,21.368048,0.041448,92.555284,0.015422,45.431564,0.000564,0.03321,0.037818,0.013177,0.002138,0.7202596049944754,1
B_D_0064,1,0.7965075969696045,0.8740172982215881,0.8307057023048401,0.8337435324986776,16.47023,0.052087,59.530798,0.011535,33.45522,0.001512,0.027337,0.041156,0.052861,0.099548,0.6820344281237019,1
B_D_0065,1,0.7983273267745972,0.9349084496498108,0.84876549243927,0.860667089621226,21.971374,0.008348,60.352354,0.003399,60.352354,0.001255,0.061581,0.062317,0.037062,0.012515,0.7187958428127533,1
B_D_0066,1,0.8229694366455078,0.8640540838241577,0.8281851410865784,0.8384028871854147,7.579457,0.074173,35.115521,0.035759,11.078889,0.000227,0.023012,0.012302,0.008474,0.022326,0.6623407603474032,1
B_D_0067,1,0.8130538463592529,0.8777949810028076,0.8589550256729126,0.8499346176783243,11.536937,0.083478,53.654246,0.02324,23.848454,0.000815,0.038468,0.011154,0.016697,0.094937,0.6835981657189383,1
B_D_0068,1,0.8191282749176025,0.8978573083877563,0.9328429698944092,0.8832761843999227,16.757362,0.1371,53.743838,0.077534,39.857654,0.013769,0.255526,0.053583,0.064949,0.300538,0.7582235659050172,1
B_D_0070,1,0.8243366479873657,0.8470120429992676,0.902152955532074,0.8578338821729025,4.139627,0.065481,20.636463,0.033087,9.952211,0.010954,0.191319,0.050764,0.018183,0.2124,0.6915974276277269,1
B_D_0071,1,0.8263518214225769,0.8689926862716675,0.8605491518974304,0.851964553197225,8.429602,0.063642,35.829158,0.029088,13.04198,0.000789,0.037706,0.013178,0.023648,0.087292,0.6733437421081427,1
B_D_0072,1,0.8454331755638123,0.8987966179847717,0.8620655536651611,0.868765115737915,34.963493,0.059367,141.148691,0.015258,45.020761,0.000558,0.023867,0.02219,0.01557,0.074546,0.7331151197553145,1
B_D_0073,1,0.8426850438117981,0.838269054889679,0.8064217567443848,0.8291252851486206,9.366984,0.064335,40.449467,0.022301,16.494199,0.001047,0.056151,0.02152,0.017223,0.033077,0.6567311592423121,1
B_D_0074,1,0.839706301689148,0.8632447123527527,0.7893844246864319,0.8307784795761108,8.143668,0.077074,51.429996,0.017507,6.465246,0.001493,0.04419,0.013921,0.035936,0.11112,0.6617060881658376,1
B_D_0075,1,0.8290452361106873,0.8510106205940247,0.8853155374526978,0.8551237980524699,7.589754,0.0469,32.837196,0.033178,11.339074,0.019702,0.248254,0.071595,0.082438,0.357973,0.7029595043341914,1
B_D_0076,1,0.8183785676956177,0.850849449634552,0.8458120822906494,0.8383466998736063,7.957689,0.069997,87.557543,0.028676,11.056519,0.000522,0.046957,0.006325,0.010411,0.059958,0.6678105822261895,1
B_D_0077,1,0.8070592880249023,0.7741257548332214,0.6827772259712219,0.7546540896097819,9.590239,0.055853,54.587632,0.015224,1.83145,0.000378,0.026338,0.007154,0.015093,0.064179,0.6031334494360429,1
B_D_0078,1,0.8287282586097717,0.8466699123382568,0.8276581764221191,0.8343521157900492,7.886122,0.04781,53.801181,0.033235,23.379439,0.001296,0.069254,0.0109,0.018906,0.106693,0.6659272207445894,1
B_D_0079,1,0.831822395324707,0.7819900512695312,0.7779649496078491,0.7972591320673624,18.58755,0.081945,121.603596,0.038775,22.62709,0.0007,0.036113,0.012887,0.010584,0.08124,0.6623728991973659,1
B_D_0080,1,0.8207799792289734,0.7133014798164368,0.64597088098526,0.7266841133435568,12.983503,0.018622,65.187877,0.006402,20.849495,0.000185,0.012671,0.007015,0.013073,0.040176,0.5970397885242095,1
B_D_0081,1,0.8463128209114075,0.9010298848152161,0.8755401372909546,0.8742942810058594,13.994179,0.162442,90.442352,0.083844,6.549828,0.001417,0.059252,0.016445,0.008208,0.091976,0.7192717329482379,1
B_D_0082,1,0.8072352409362793,0.9260054230690002,0.8927257061004639,0.8753221233685812,24.404286,0.055763,78.912914,0.019686,69.980386,0.000303,0.008931,0.009951,0.023371,0.04418,0.7332392830721096,1
B_D_0083,1,0.8440349102020264,0.9395529627799988,0.897394061088562,0.8936606446901957,10.488695,0.091111,38.123359,0.068184,24.672347,0.000353,0.027731,0.011727,0.004475,0.047714,0.7229811614648662,1
B_D_0084,1,0.7995615601539612,0.9083919525146484,0.8659866452217102,0.8579800526301066,4.241397,0.178914,17.168176,0.106392,10.035068,0.003666,0.071632,0.029394,0.052454,0.145115,0.7059346668152322,1
B_D_0085,1,0.8093563318252563,0.7064411640167236,0.7991047501564026,0.7716340819994608,29.311665,0.200197,82.239095,0.095467,81.563129,0.000457,0.029794,0.016677,0.016434,0.061039,0.6857508264656866,1
B_D_0086_resized,1,0.754664957523346,0.7844142317771912,0.801112174987793,0.78006378809611,77.429672,0.478039,172.249888,0.353588,166.242238,0.029223,0.2775,0.086824,0.016037,0.368138,0.8365804371178637,1
B_D_0087_resized,1,0.7547149062156677,0.7591289281845093,0.8555882573127747,0.7898106972376505,59.58636,0.464095,132.328862,0.342889,128.844738,0.037591,0.234945,0.202895,0.027115,0.27443,0.8504557913443651,1
B_D_0088_resized,1,0.8154675364494324,0.5811139941215515,0.6965464353561401,0.697709321975708,16.122599,0.079977,101.084825,0.010173,8.088331,0.002471,0.087825,0.068602,0.035759,0.062119,0.5986484361849019,1
B_D_0089_resized,1,0.7525116205215454,0.8211123943328857,0.7124515175819397,0.7620251774787903,81.017065,0.445446,203.368886,0.327268,149.811962,0.022651,0.09246,0.173689,0.154969,0.153372,0.8179470823833327,1
B_D_0090_resized,1,0.7782732844352722,0.6219609379768372,0.5082553029060364,0.6361631751060486,74.032598,0.573238,324.980153,0.498662,10.825557,0.03408,0.347967,0.140013,0.175766,0.030871,0.7415791747599552,1
B_D_0091_resized,1,0.7736829519271851,0.571112334728241,0.7427905201911926,0.6958619356155396,52.123276,0.515421,254.975148,0.351416,138.790258,0.028685,0.054913,0.137297,0.213981,0.426269,0.8047583540435743,1
B_D_0092_resized,1,0.5980280637741089,0.5306785702705383,0.548714280128479,0.5591403047243754,5.077426,0.38091,54.901506,0.014854,7.2989,0.015094,0.04476,0.10799,0.007715,0.03021,0.4883010695244678,1
B_D_0093_resized,1,0.8022929430007935,0.8969313502311707,0.8682489395141602,0.8558244109153748,60.682063,0.434118,312.235308,0.326728,129.827526,0.070334,0.461127,0.153518,0.251713,0.469364,0.9257236712098571,1
B_D_0094_resized,1,0.7781485319137573,0.8192037343978882,0.788173496723175,0.7951752543449402,54.74502,0.105461,179.497954,0.073303,133.696736,0.005744,0.077585,0.045962,0.085385,0.191296,0.7598069090013024,1
B_D_0095_resized,1,0.7180790901184082,0.6033768057823181,0.8341360092163086,0.7185306350390116,25.637404,0.484278,56.783962,0.237669,56.783962,0.002235,0.069313,0.05421,0.042913,0.046737,0.6986158541147398,1
B_D_0096,1,0.29991593956947327,0.17166174948215485,0.2930924892425537,0.2548900594313939,0.098445,0.004826,0.750739,0.002383,0.123171,0.001173,0.022739,0.040112,0.031378,0.054248,0.2077247678634318,0
B_D_0097,1,0.2744778096675873,0.14499470591545105,0.25477334856987,0.22474862138430277,0.174655,0.002683,0.527093,0.00206,0.527093,0.001138,0.050006,0.032595,0.017104,0.09547,0.18674290199425425,0
B_D_0098,1,0.28066787123680115,0.18462705612182617,0.26025184988975525,0.24184892574946085,0.054137,0.006079,0.224446,0.003765,0.113938,0.00333,0.088784,0.039792,0.07393,0.050795,0.2023134990768881,0
B_D_0099,1,0.34061893820762634,0.22299306094646454,0.22945551574230194,0.2643558382987976,0.337009,0.003079,1.685011,0.00167,0.468361,0.007713,0.117627,0.065757,0.062881,0.146366,0.23302891620568641,0
B_D_0100,1,0.31908783316612244,0.21390853822231293,0.28283461928367615,0.2719436635573705,0.454432,0.003801,3.261274,0.001009,0.877784,0.006817,0.130053,0.059135,0.03478,0.159748,0.23102449513929507,0
B_D_0101,1,0.7513095140457153,0.7369424700737,0.554844856262207,0.6810322801272074,17.842976,0.465482,73.970779,0.396293,19.621851,0.060618,0.378784,0.199512,0.127664,0.325847,0.6952963991271293,1
B_D_0102,1,0.6620223522186279,0.6968692541122437,0.7837293744087219,0.7142069935798645,60.548604,0.411303,131.790348,0.295327,130.232604,0.02076,0.215484,0.081147,0.03791,0.373195,0.7680861248231763,1
B_D_0103,1,0.6637181043624878,0.41669735312461853,0.38627174496650696,0.4888957341512044,49.303981,0.012412,412.056623,0.006157,94.605307,0.001582,0.042583,0.050022,0.04874,0.044327,0.5421865091879233,1
B_D_0104,1,0.6764811873435974,0.39768585562705994,0.4584786593914032,0.5108819007873535,3.245856,0.027538,14.194644,0.008865,7.169362,0.000578,0.042934,0.02206,0.02363,0.007535,0.4344058363521193,0
B_D_0105,1,0.7074809074401855,0.6897435188293457,0.7512212991714478,0.716148575146993,43.169297,0.384514,243.237211,0.358961,96.784387,0.032303,0.354874,0.186533,0.153579,0.428846,0.7975640558286635,1
B_D_0106,1,0.680328905582428,0.4630568325519562,0.5062451958656311,0.5498769780000051,20.534539,0.004558,63.852894,0.001707,63.852894,0.000974,0.041968,0.023929,0.030097,0.046806,0.4955476771427461,1
B_D_0107,1,0.7309751510620117,0.4860970675945282,0.3840031027793884,0.5336917738119761,20.126705,0.327439,133.6048,0.060638,84.28858,0.012864,0.122618,0.069752,0.04006,0.16141,0.5640409715373343,1
B_D_0108,1,0.6939618587493896,0.7462907433509827,0.788909375667572,0.7430539925893148,10.691068,0.049517,29.826537,0.028436,25.585333,0.026007,0.240112,0.109562,0.054163,0.438249,0.6477713056102217,1
B_D_0109,1,0.640029788017273,0.5211624503135681,0.5665070414543152,0.5758997599283854,6.689175,0.048305,29.407314,0.036814,12.673392,0.010054,0.056187,0.052838,0.109093,0.317029,0.4908391469343419,1
B_D_0110,1,0.7503764629364014,0.7914939522743225,0.8691757321357727,0.8036820491154989,9.797727,0.172817,58.243094,0.050307,18.820708,0.018447,0.214585,0.107287,0.154761,0.306744,0.6973048974534591,1
B_D_0111,1,0.8003190159797668,0.8421046733856201,0.8377707004547119,0.8267314632733663,11.525735,0.216735,57.141031,0.08892,14.037591,0.023813,0.250103,0.09269,0.084637,0.359438,0.7111015537921617,1
B_D_0112,1,0.7989007234573364,0.9046874046325684,0.8971921801567078,0.8669267694155375,21.075765,0.427141,100.289179,0.238012,32.985803,0.040609,0.358075,0.10759,0.052488,0.508007,0.8276462535029299,1
B_D_0113,1,0.831167995929718,0.88134765625,0.7690346240997314,0.8271834254264832,18.379124,0.328145,71.772189,0.178728,41.828809,0.0061,0.100808,0.083824,0.037393,0.091667,0.7407890363774499,1
B_D_0114,1,0.8186703324317932,0.9192769527435303,0.9036272168159485,0.8805248339970907,22.220076,0.374679,107.598009,0.190852,59.724341,0.032639,0.250921,0.086516,0.146299,0.494028,0.8400043027198592,1
B_D_0115,1,0.8162861466407776,0.9276300072669983,0.8974148035049438,0.8804436524709066,29.373517,0.236789,78.744331,0.087357,78.744331,0.016723,0.204268,0.071338,0.056141,0.290802,0.7919151751500121,1
B_D_0116,1,0.790051281452179,0.506749153137207,0.6790867447853088,0.6586290597915649,68.497302,0.165597,352.768929,0.148299,7.144605,0.001793,0.045403,0.061309,0.051389,0.095743,0.6680421513442424,1
B_D_0117,1,0.8111029863357544,0.7636255621910095,0.8013126254081726,0.7920137246449789,65.724414,0.183887,296.530279,0.108045,14.718811,0.003676,0.107941,0.037181,0.011879,0.122018,0.7401895819800446,1
B_D_0123_resized,1,0.7856519818305969,0.8412950038909912,0.7271186113357544,0.7846885323524475,13.031658,0.68723,104.427361,0.019403,30.483371,0.013651,0.151148,0.106599,0.122103,0.196258,0.70791167894052,1
B_D_0124_resized,1,0.8190340995788574,0.8968878388404846,0.9115219712257385,0.8758146365483602,9.458987,0.035172,27.354535,0.011559,27.354535,0.006623,0.128763,0.054514,0.012587,0.218,0.7052898381997588,1
B_D_0125_resized,1,0.8087565302848816,0.8441588282585144,0.901269257068634,0.8513948718706766,10.140423,0.021953,32.22812,0.007449,32.22812,0.013718,0.165982,0.07867,0.068754,0.187115,0.6989832512411328,1
B_D_0126_resized,1,0.7925345301628113,0.93748939037323,0.8982207179069519,0.8760815461476644,16.803311,0.07155,45.75734,0.019856,44.27989,0.015716,0.14504,0.115902,0.108115,0.044692,0.7386779866854079,1
B_D_0127_resized,1,0.8011599779129028,0.9356260299682617,0.8654048442840576,0.8673969507217407,20.592326,0.055638,51.203675,0.017443,51.203675,0.003843,0.086597,0.077249,0.072783,0.030555,0.7278879520318977,1
B_D_0128_resized,1,0.807852566242218,0.910607099533081,0.9172618389129639,0.8785738348960876,9.054935,0.021361,30.364982,0.010081,25.305898,0.009795,0.101025,0.107109,0.079734,0.155745,0.71196016368576,1
B_D_0129,1,0.790855348110199,0.5351382493972778,0.5301574468612671,0.6187170147895813,6.84183,0.011604,18.543862,0.009451,17.904138,0.000878,0.051921,0.044195,0.025308,0.051921,0.5259119412387059,1
B_D_0130_resized,1,0.7984363436698914,0.3714926838874817,0.48625123500823975,0.552060087521871,4.577714,0.045296,32.986395,0.015752,11.338095,0.001446,0.037673,0.036234,0.04303,0.056794,0.49468083367280513,1
B_D_0131_resized,1,0.8133049011230469,0.9055690765380859,0.8855974078178406,0.8681571284929911,10.337231,0.042112,28.349881,0.020962,28.349881,0.003489,0.097464,0.067817,0.04592,0.082191,0.7007931202646254,1
B_D_0132_resized,1,0.8002558946609497,0.8893370032310486,0.8668988943099976,0.8521639307339987,9.054254,0.042284,23.167857,0.008622,23.167857,0.00428,0.080233,0.054031,0.076439,0.12089,0.6845465565871146,1
B_D_0133_resized,1,0.8170590400695801,0.9253618717193604,0.9182184934616089,0.8868798017501831,17.971442,0.079167,70.940436,0.026027,39.06191,0.014332,0.079463,0.081029,0.136997,0.373871,0.7504084435775538,1
B_D_0134_resized,1,0.782535970211029,0.9180843234062195,0.873416543006897,0.8580122788747152,14.963888,0.049813,67.70165,0.026053,46.89419,0.00341,0.092543,0.057117,0.040471,0.107796,0.7153206216584359,1
B_D_0135_resized,1,0.817335844039917,0.8352694511413574,0.8074672818183899,0.8200241923332214,44.319978,0.811988,444.278269,0.011516,45.390865,0.020779,0.131923,0.171022,0.127126,0.09447,0.7941359751201157,1
B_D_0136_resized,1,0.8104193806648254,0.9058195352554321,0.8451012969017029,0.8537800709406534,16.126779,0.019569,71.227286,0.008392,44.007558,0.002275,0.077823,0.036814,0.031604,0.063901,0.7016800024844188,1
B_D_0137_resized,1,0.8123587965965271,0.9153218269348145,0.9171499013900757,0.8816101749738058,31.977529,0.04577,101.238061,0.012662,74.780763,0.009897,0.115392,0.080756,0.05649,0.094443,0.7578546742245718,1
B_D_0138_resized,1,0.8366975784301758,0.9267339110374451,0.8865532875061035,0.8833282589912415,9.545599,0.049495,34.004634,0.031542,25.152628,0.000953,0.044706,0.040581,0.029885,0.056619,0.7088488376980048,1
B_D_0139_resized,1,0.8363756537437439,0.9213131666183472,0.9239866733551025,0.8938918312390646,16.84825,0.018408,48.696538,0.011186,45.349532,0.00198,0.054129,0.053813,0.044538,0.137881,0.727491177546935,1
